,name,symbol,market_cap,price,volume,type,list_date,weighted
73,"BlackRock, Inc.",BLK,177.798,1148.17,433632.0,CS,1999-10-01 00:00:00+00:00,0.3
74,PDD Holdings Inc.,PDD,176.930,127.11,19873804.0,ADRC,2018-07-26 00:00:00+00:00,0.3
75,Citigroup Inc.,C,175.364,95.26,14253007.0,CS,1986-06-02 00:00:00+00:00,0.3
76,The Boeing Company,BA,174.007,230.12,8542599.0,CS,1952-05-23 00:00:00+00:00,0.3
77,The Charles Schwab Corporation,SCHW,173.953,95.83,11142266.0,CS,1987-09-30 00:00:00+00:00,0.3
78,Sony Group Corporation,SONY,172.468,28.61,4489602.0,ADRC,1970-09-10 00:00:00+00:00,0.3
79,"Intuitive Surgical, Inc.",ISRG,170.692,476.16,1739836.0,CS,2000-06-13 00:00:00+00:00,0.3
80,QUALCOMM Incorporated,QCOM,170.493,158.01,7709112.0,CS,1991-12-13 00:00:00+00:00,0.3
81,S&P Global Inc.,SPGI,169.948,556.66,892297.0,CS,1929-02-14 00:00:00+00:00,0.3
82,"Arista Networks, Inc.",ANET,167.478,133.25,6140801.0,CS,2014-06-06 00:00:00+00:00,0.3
83,GE Vernova Inc.,GEV,165.259,607.07,2723412.0,CS,2024-03-27 00:00:00+00:00,0.3
84,Accenture plc,ACN,161.456,259.22,3102369.0,CS,2001-07-19 00:00:00+00:00,0.3
85,Amgen Inc.,AMGN,158.128,293.72,1643969.0,CS,1983-06-17 00:00:00+00:00,0.3
86,Boston Scientific Corporation,BSX,157.317,106.17,8236867.0,CS,1992-05-18 00:00:00+00:00,0.3
87,"NextEra Energy, Inc.",NEE,157.165,76.32,11827611.0,CS,1972-06-30 00:00:00+00:00,0.3
88,Unilever PLC,UL,155.995,63.06,2186060.0,ADRC,1961-12-12 00:00:00+00:00,0.3
89,Adobe Inc.,ADBE,153.599,362.09,2971056.0,CS,1986-08-20 00:00:00+00:00,0.3
90,"The TJX Companies, Inc.",TJX,152.327,136.54,5774527.0,CS,1965-11-17 00:00:00+00:00,0.3
91,Danaher Corporation,DHR,151.660,211.8,2995715.0,CS,1978-12-29 00:00:00+00:00,0.3
92,Stryker Corporation,SYK,150.713,394.22,707370.0,CS,1979-05-02 00:00:00+00:00,0.3
93,AppLovin Corporation,APP,149.398,441.68,6159460.0,CS,2021-04-15 00:00:00+00:00,0.3
94,"Banco Santander, S.A.",SAN,148.442,9.79,6082003.0,ADRC,1987-07-30 00:00:00+00:00,0.3
95,"Lowe's Companies, Inc.",LOW,147.804,263.73,3794030.0,CS,1972-06-01 00:00:00+00:00,0.3
96,Pfizer Inc.,PFE,147.142,25.88,28421140.0,CS,1951-06-22 00:00:00+00:00,0.3
97,The Progressive Corporation,PGR,146.089,249.21,2024605.0,CS,1972-06-01 00:00:00+00:00,0.3
98,Arm Holdings plc American Depositary Shares,ARM,146.057,137.92,4029738.0,ADRC,2023-09-14 00:00:00+00:00,0.3
99,TotalEnergies SE,TTE,144.474,64.03,861148.0,ADRC,1991-10-25 00:00:00+00:00,0.3
100,"Gilead Sciences, Inc.",GILD,142.408,114.77,5456525.0,CS,1992-01-22 00:00:00+00:00,0.2
101,Honeywell International Inc.,HON,141.474,222.83,3282188.0,CS,1929-09-19 00:00:00+00:00,0.2
102,Capital One Financial Corporation,COF,141.474,221.22,4137018.0,CS,1994-11-16 00:00:00+00:00,0.2
103,Spotify Technology S.A.,SPOT,140.726,692.99,862595.0,CS,2018-04-03 00:00:00+00:00,0.2
104,Eaton Corporation plc,ETN,135.325,347.61,1964667.0,CS,1948-12-01 00:00:00+00:00,0.2
105,Union Pacific Corporation,UNP,135.124,227.85,4758357.0,CS,1969-06-20 00:00:00+00:00,0.2
106,Deere & Company,DE,134.327,495.99,983746.0,CS,1958-08-04 00:00:00+00:00,0.2
107,Amphenol Corporation,APH,133.520,109.36,6133773.0,CS,1991-11-08 00:00:00+00:00,0.2
108,"Micron Technology, Inc.",MU,131.699,117.68,12846296.0,CS,1984-06-01 00:00:00+00:00,0.2
109,"Applied Materials, Inc.",AMAT,130.398,162.49,7441048.0,CS,1972-10-12 00:00:00+00:00,0.2
110,The Toronto-Dominion Bank,TD,130.291,74.38,1489149.0,CS,1996-08-30 00:00:00+00:00,0.2
111,UBS Group AG,UBS,128.533,40.38,1280942.0,CS,1990-02-08 00:00:00+00:00,0.2
112,British American Tobacco p.l.c.,BTI,127.777,58.51,4637547.0,ADRC,1980-04-14 00:00:00+00:00,0.2
113,Sanofi,SNY,127.291,51.35,1444573.0,ADRC,2002-07-01 00:00:00+00:00,0.2
114,Lam Research Corporation,LRCX,126.663,100.08,9502148.0,CS,1984-05-04 00:00:00+00:00,0.2
115,KKR & Co. Inc.,KKR,126.310,141.77,4084501.0,CS,2010-07-15 00:00:00+00:00,0.2
116,Comcast Corporation,CMCSA,125.766,34.15,25002604.0,CS,1973-01-02 00:00:00+00:00,0.2
117,"Analog Devices, Inc.",ADI,125.038,252.2,4512425.0,CS,1972-06-01 00:00:00+00:00,0.2
118,"Automatic Data Processing, Inc.",ADP,124.733,307.95,1050096.0,CS,1968-01-31 00:00:00+00:00,0.2
119,Anheuser-Busch InBev SA/NV,BUD,124.709,63.86,1732441.0,ADRC,1980-04-18 00:00:00+00:00,0.2
120,"Palo Alto Networks, Inc.",PANW,124.070,185.88,6855096.0,CS,2012-07-20 00:00:00+00:00,0.2
121,"MercadoLibre, Inc.",MELI,123.226,2430.62,435534.0,CS,2007-08-10 00:00:00+00:00,0.2
122,BNB,BNB,123.054,883.4530136292606,2454021856.3238993,CC,2017-07-25 00:00:00+00:00,0.2
123,ConocoPhillips,COP,120.872,96.78,6301251.0,CS,1972-06-30 00:00:00+00:00,0.2
124,Medtronic plc,MDT,118.786,92.71,3963887.0,CS,1972-06-01 00:00:00+00:00,0.2
125,ICICI Bank Limited,IBN,117.484,32.72,5454803.0,ADRC,2000-03-28 00:00:00+00:00,0.2
126,"NIKE, Inc.",NKE,115.761,78.38,9570815.0,CS,1980-12-02 00:00:00+00:00,0.2
127,KLA Corporation,KLAC,114.843,870.28,945936.0,CS,1980-10-08 00:00:00+00:00,0.2
128,"Altria Group, Inc.",MO,113.678,67.67,9556312.0,CS,1972-06-01 00:00:00+00:00,0.2
129,"Synopsys, Inc.",SNPS,112.233,606.52,862230.0,CS,1992-03-03 00:00:00+00:00,0.2
