,name,symbol,market_cap,price,volume,weighted
46,Abbott Laboratories,ABT,229.332,131.765,1799883.0,0.4
47,Linde plc,LIN,226.057,482.09,455074.0,0.4
48,HSBC Holdings plc,HSBC,223.076,64.175,701562.0,0.4
49,International Business Machines Corporation,IBM,222.996,239.39,998008.0,0.4
50,"The Goldman Sachs Group, Inc.",GS,222.058,733.54,494107.0,0.4
51,McDonald's Corporation,MCD,219.626,307.77,571029.0,0.4
52,Shell plc,SHEL,212.229,71.795,991585.0,0.4
53,American Express Company,AXP,212.133,304.84,562987.0,0.4
54,"Merck & Co., Inc.",MRK,210.026,84.085,2443176.0,0.4
55,The Walt Disney Company,DIS,209.207,116.36,1384221.0,0.4
56,AT&T Inc.,T,206.253,28.845,6975642.0,0.4
57,Blackstone Inc.,BX,206.220,171.84,905259.0,0.4
58,RTX Corporation,RTX,206.142,154.005,1063264.0,0.4
59,"PepsiCo, Inc.",PEP,205.020,149.75,1457717.0,0.4
60,Intuit Inc.,INTU,198.462,711.47,393697.0,0.3
61,"Uber Technologies, Inc.",UBER,195.174,93.59,5620085.0,0.3
62,Caterpillar Inc.,CAT,193.173,412.34,799806.0,0.3
63,Royal Bank of Canada,RY,192.863,136.755,73435.0,0.3
64,HDFC Bank Limited,HDB,190.953,74.64,345965.0,0.3
65,Shopify Inc.,SHOP,186.720,143.665,1496977.0,0.3
66,Verizon Communications Inc.,VZ,185.139,43.91,4216217.0,0.3
67,"Mitsubishi UFJ Financial Group, Inc.",MUFG,184.721,15.925,1093795.0,0.3
68,Thermo Fisher Scientific Inc.,TMO,184.354,488.21,477206.0,0.3
69,XRP,XRP,181.938,3.067661480284682,7311890573.944134,0.3
70,"ServiceNow, Inc.",NOW,177.942,855.49,408025.0,0.3
71,"BlackRock, Inc.",BLK,177.846,1148.48,208917.0,0.3
72,Booking Holdings Inc.,BKNG,177.761,5484.775,36813.0,0.3
73,Texas Instruments Incorporated,TXN,177.318,195.04,1170474.0,0.3
74,The Boeing Company,BA,176.778,233.785,1492085.0,0.3
75,The Charles Schwab Corporation,SCHW,175.024,96.42,2606242.0,0.3
76,"Arista Networks, Inc.",ANET,173.385,137.95,1901809.0,0.3
77,Citigroup Inc.,C,173.238,94.105,2715057.0,0.3
78,Sony Group Corporation,SONY,173.221,28.735,1862379.0,0.3
79,"Intuitive Surgical, Inc.",ISRG,171.814,479.29,394562.0,0.3
80,S&P Global Inc.,SPGI,171.060,560.3,206339.0,0.3
81,QUALCOMM Incorporated,QCOM,170.221,157.7584,2010303.0,0.3
82,GE Vernova Inc.,GEV,168.036,617.27,966110.0,0.3
83,Tether USDt,USDT,165.922,1.0003904097960814,145918858464.79282,0.3
84,PDD Holdings Inc.,PDD,165.906,119.19,3655991.0,0.3
85,Amgen Inc.,AMGN,157.907,293.3099,590990.0,0.3
86,Accenture plc,ACN,154.019,247.28,1090872.0,0.3
87,Boston Scientific Corporation,BSX,153.302,103.46,1116723.0,0.3
88,Unilever PLC,UL,151.567,61.27,674544.0,0.3
89,Danaher Corporation,DHR,151.080,210.99,578870.0,0.3
90,Adobe Inc.,ADBE,150.336,354.4,1014497.0,0.3
91,Spotify Technology S.A.,SPOT,150.276,740.02,1235738.0,0.3
92,"NextEra Energy, Inc.",NEE,149.154,72.43,2333867.0,0.3
93,AppLovin Corporation,APP,148.695,439.6,1335565.0,0.3
94,Arm Holdings plc American Depositary Shares,ARM,148.016,139.77,961199.0,0.3
95,"The TJX Companies, Inc.",TJX,147.954,132.62,759562.0,0.3
96,"Gilead Sciences, Inc.",GILD,147.297,118.71,1393074.0,0.3
97,"Banco Santander, S.A.",SAN,146.547,9.665,742143.0,0.3
98,Stryker Corporation,SYK,145.389,380.295,244457.0,0.3
99,The Progressive Corporation,PGR,144.999,247.35,734310.0,0.3
100,Pfizer Inc.,PFE,143.105,25.17,7786183.0,0.2
101,"Lowe's Companies, Inc.",LOW,140.408,250.5318,565295.0,0.2
102,Capital One Financial Corporation,COF,137.816,215.5,917990.0,0.2
103,TotalEnergies SE,TTE,137.704,62.5,362072.0,0.2
104,Honeywell International Inc.,HON,137.273,216.2131,669425.0,0.2
105,Eaton Corporation plc,ETN,136.969,351.835,459925.0,0.2
106,"Micron Technology, Inc.",MU,135.153,120.7658,7287734.0,0.2
107,Amphenol Corporation,APH,133.501,109.345,1952824.0,0.2
108,"Applied Materials, Inc.",AMAT,132.236,164.78,13762961.0,0.2
109,Deere & Company,DE,132.082,487.7,641422.0,0.2
110,Union Pacific Corporation,UNP,131.246,221.3101,834104.0,0.2
111,The Toronto-Dominion Bank,TD,129.731,74.06,114375.0,0.2
112,KKR & Co. Inc.,KKR,128.038,143.71,760467.0,0.2
113,UBS Group AG,UBS,126.609,39.95,678077.0,0.2
114,Lam Research Corporation,LRCX,126.480,99.935,7908037.0,0.2
115,British American Tobacco p.l.c.,BTI,124.174,56.845,1311442.0,0.2
116,Sanofi,SNY,123.535,49.835,425866.0,0.2
117,Comcast Corporation,CMCSA,122.268,33.2,4304348.0,0.2
118,"MercadoLibre, Inc.",MELI,122.029,2407.0,145395.0,0.2
119,"Automatic Data Processing, Inc.",ADP,121.977,301.145,312213.0,0.2
120,Anheuser-Busch InBev SA/NV,BUD,120.768,61.4,355127.0,0.2
121,ConocoPhillips,COP,119.299,95.52,1193701.0,0.2
122,Medtronic plc,MDT,118.408,92.415,1071597.0,0.2
123,KLA Corporation,KLAC,117.550,890.79,617936.0,0.2
124,ICICI Bank Limited,IBN,117.208,32.835,445002.0,0.2
125,"Palo Alto Networks, Inc.",PANW,116.961,175.23,2598230.0,0.2
126,"Analog Devices, Inc.",ADI,115.992,233.7385,907914.0,0.2
127,BNB,BNB,115.575,829.7593764682016,4522070875.963734,0.2
128,"NIKE, Inc.",NKE,112.874,76.425,1887888.0,0.2
129,"Synopsys, Inc.",SNPS,112.581,608.4,230857.0,0.2
