,name,symbol,market_cap,price,volume,weighted
38,Wells Fargo & Company,WFC,249.388,77.85,14117072.0,0.5
39,Toyota Motor Corporation,TM,246.624,188.64,506818.0,0.4
40,Abbott Laboratories,ABT,233.709,134.28,4984782.0,0.4
41,"Salesforce, Inc.",CRM,229.928,240.51,8805985.0,0.4
42,Morgan Stanley,MS,228.564,143.18,3941554.0,0.4
43,AstraZeneca PLC,AZN,228.040,73.55,4808245.0,0.4
44,UnitedHealth Group Incorporated,UNH,227.592,250.89,9340673.0,0.4
45,Novartis AG,NVS,226.185,116.84,1585008.0,0.4
46,International Business Machines Corporation,IBM,225.679,242.27,6793614.0,0.4
47,HSBC Holdings plc,HSBC,221.646,63.71,1363210.0,0.4
48,Linde plc,LIN,221.522,472.42,939156.0,0.4
49,"The Goldman Sachs Group, Inc.",GS,218.344,721.27,942324.0,0.4
50,McDonald's Corporation,MCD,217.970,305.45,2597430.0,0.4
51,Shell plc,SHEL,209.650,71.65,3839691.0,0.4
52,Novo Nordisk A/S,NVO,209.089,51.08,22147876.0,0.4
53,Intuit Inc.,INTU,208.931,749.0,1670134.0,0.4
54,RTX Corporation,RTX,207.286,154.86,2005501.0,0.4
55,American Express Company,AXP,206.976,297.43,1777487.0,0.4
56,Blackstone Inc.,BX,202.661,168.91,2278445.0,0.4
57,The Walt Disney Company,DIS,202.141,112.43,9474566.0,0.4
58,"Merck & Co., Inc.",MRK,201.546,80.69,6881050.0,0.4
59,AT&T Inc.,T,200.783,28.08,19435369.0,0.4
60,"PepsiCo, Inc.",PEP,198.804,145.21,5308121.0,0.4
61,AT&T Inc. 5.35% GLB NTS 66,TBB,197.342,22.82,55774.0,0.3
62,XRP,XRP,195.927,3.3035323327888295,8816011285.885551,0.3
63,Caterpillar Inc.,CAT,195.896,416.52,2576860.0,0.3
64,Shopify Inc.,SHOP,194.101,149.61,9563250.0,0.3
65,HDFC Bank Limited,HDB,191.112,74.72,1712477.0,0.3
66,Royal Bank of Canada,RY,187.003,132.6,1825724.0,0.3
67,"Uber Technologies, Inc.",UBER,186.770,89.56,23657727.0,0.3
68,Verizon Communications Inc.,VZ,181.934,43.15,10703202.0,0.3
69,"ServiceNow, Inc.",NOW,181.482,872.51,1897151.0,0.3
70,GE Vernova Inc.,GEV,176.698,649.09,1798380.0,0.3
71,The Charles Schwab Corporation,SCHW,176.391,97.08,5030202.0,0.3
72,Booking Holdings Inc.,BKNG,175.205,5405.91,186016.0,0.3
73,"Arista Networks, Inc.",ANET,174.799,139.18,8353456.0,0.3
74,"BlackRock, Inc.",BLK,174.287,1124.97,354240.0,0.3
75,Thermo Fisher Scientific Inc.,TMO,173.973,460.72,1689877.0,0.3
76,The Boeing Company,BA,173.251,229.12,4174817.0,0.3
77,Citigroup Inc.,C,170.707,92.73,10763952.0,0.3
78,Texas Instruments Incorporated,TXN,170.209,187.22,5942386.0,0.3
79,S&P Global Inc.,SPGI,170.012,556.87,819628.0,0.3
80,"Intuitive Surgical, Inc.",ISRG,168.512,470.08,1160542.0,0.3
81,"Mitsubishi UFJ Financial Group, Inc.",MUFG,166.276,14.56,2151350.0,0.3
82,Tether USDt,USDT,164.524,1.0002237332424269,107526886413.27321,0.3
83,Sony Group Corporation,SONY,163.895,27.15,4881295.0,0.3
84,QUALCOMM Incorporated,QCOM,159.217,147.56,5025706.0,0.3
85,PDD Holdings Inc.,PDD,158.681,114.26,4326495.0,0.3
86,Amgen Inc.,AMGN,154.983,288.23,1771787.0,0.3
87,AppLovin Corporation,APP,154.411,455.98,9468583.0,0.3
88,Boston Scientific Corporation,BSX,152.828,103.14,5076115.0,0.3
89,Unilever PLC,UL,149.709,61.06,2120497.0,0.3
90,"NextEra Energy, Inc.",NEE,149.113,72.41,4330574.0,0.3
91,Accenture plc,ACN,148.986,239.2,3025027.0,0.3
92,"Gilead Sciences, Inc.",GILD,148.538,119.41,10598292.0,0.3
93,"Applied Materials, Inc.",AMAT,148.358,184.87,4307826.0,0.3
94,Arm Holdings plc American Depositary Shares,ARM,146.672,138.5,3366709.0,0.3
95,"The TJX Companies, Inc.",TJX,146.559,131.37,4622448.0,0.3
96,Adobe Inc.,ADBE,144.673,341.05,3488611.0,0.3
97,The Progressive Corporation,PGR,144.506,246.51,2118468.0,0.3
98,Stryker Corporation,SYK,144.351,377.58,972328.0,0.3
99,Danaher Corporation,DHR,143.611,200.56,2962774.0,0.3
100,Spotify Technology S.A.,SPOT,143.345,705.89,2269712.0,0.3
101,Eaton Corporation plc,ETN,141.254,362.84,2137800.0,0.2
102,Pfizer Inc.,PFE,139.751,24.58,36346170.0,0.2
103,"Banco Santander, S.A.",SAN,138.570,9.31,5171532.0,0.2
104,Deere & Company,DE,138.222,510.37,883715.0,0.2
105,Honeywell International Inc.,HON,137.335,216.31,2673376.0,0.2
106,"Lowe's Companies, Inc.",LOW,135.150,241.15,2728786.0,0.2
107,TotalEnergies SE,TTE,135.126,61.33,1710731.0,0.2
108,Amphenol Corporation,APH,134.277,109.98,5052302.0,0.2
109,Capital One Financial Corporation,COF,133.167,208.23,2885753.0,0.2
110,"Micron Technology, Inc.",MU,133.053,118.89,28750384.0,0.2
111,Union Pacific Corporation,UNP,131.797,222.24,1811306.0,0.2
112,Lam Research Corporation,LRCX,130.150,101.75,8649956.0,0.2
113,The Toronto-Dominion Bank,TD,128.312,73.25,872321.0,0.2
114,KKR & Co. Inc.,KKR,127.068,142.67,2163481.0,0.2
115,UBS Group AG,UBS,125.309,39.54,1744665.0,0.2
116,British American Tobacco p.l.c.,BTI,125.077,57.24,4371757.0,0.2
117,"Automatic Data Processing, Inc.",ADP,124.135,305.81,879292.0,0.2
118,KLA Corporation,KLAC,120.974,914.8,719321.0,0.2
119,Anheuser-Busch InBev SA/NV,BUD,119.612,61.99,1940374.0,0.2
120,"MercadoLibre, Inc.",MELI,119.326,2353.7,303287.0,0.2
121,Medtronic plc,MDT,119.003,92.88,6446708.0,0.2
122,ConocoPhillips,COP,118.553,93.91,8585205.0,0.2
123,ICICI Bank Limited,IBN,117.331,32.87,1804834.0,0.2
124,Comcast Corporation,CMCSA,116.633,31.67,16074220.0,0.2
125,Sanofi,SNY,114.948,47.13,2919055.0,0.2
126,"Synopsys, Inc.",SNPS,114.620,619.42,700563.0,0.2
127,Welltower Inc.,WELL,112.235,168.03,1968136.0,0.2
128,MicroStrategy Incorporated,MSTR,112.040,395.13,11165159.0,0.2
129,"Palo Alto Networks, Inc.",PANW,111.508,167.06,9822343.0,0.2
130,"Analog Devices, Inc.",ADI,111.135,223.95,3077221.0,0.2
